space,column_index,label_id,feature_name,unit,measurement,coverage_status,source_ids,evidence_ids,observed_source_directions,source_measurements,exact_target_measurement_effect_available,numeric_generator_effect_assigned,conflict_or_context_note,coverage_limit
FIRST,10,53,Right_Hippocampus,mm3,FSL_FIRST_boundary_corrected_volume,direct,S01;S06,S01_Hippocampus;S06_naive_Hippocampus,lower,"FreeSurfer subcortical volume adjusted for age, sex and ICV;MRI regional volumes; heterogeneous segmentation; bilateral combined",False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
FIRST,11,18,Left_Amygdala,mm3,FSL_FIRST_boundary_corrected_volume,direct,S01,S01_Amygdala,lower,"FreeSurfer subcortical volume adjusted for age, sex and ICV",False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
FIRST,12,54,Right_Amygdala,mm3,FSL_FIRST_boundary_corrected_volume,direct,S01,S01_Amygdala,lower,"FreeSurfer subcortical volume adjusted for age, sex and ICV",False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
FIRST,13,26,Left_Accumbens,mm3,FSL_FIRST_boundary_corrected_volume,direct,S01,S01_Accumbens,lower,"FreeSurfer subcortical volume adjusted for age, sex and ICV",False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
FIRST,14,58,Right_Accumbens,mm3,FSL_FIRST_boundary_corrected_volume,direct,S01,S01_Accumbens,lower,"FreeSurfer subcortical volume adjusted for age, sex and ICV",False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,0,1,Precentral_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_Frontal_GM;S02_Precentral_thickness;S02_Precentral_surface_area;S03_Lfrontal,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,1,2,Precentral_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_Frontal_GM;S02_Precentral_thickness;S02_Precentral_surface_area;S03_Rtemporal,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,2,3,Frontal_Sup_2_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Frontal_GM;S06_Superior_Frontal;S02_Frontal_Sup_2_thickness;S02_Frontal_Sup_2_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,3,4,Frontal_Sup_2_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Frontal_GM;S06_Superior_Frontal;S02_Frontal_Sup_2_thickness;S02_Frontal_Sup_2_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,4,5,Frontal_Mid_2_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Frontal_GM;S06_Middle_Frontal;S02_Frontal_Mid_2_thickness;S02_Frontal_Mid_2_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,5,6,Frontal_Mid_2_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Frontal_GM;S06_Middle_Frontal;S02_Frontal_Mid_2_thickness;S02_Frontal_Mid_2_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,6,7,Frontal_Inf_Oper_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_Inferior_Frontal;S02_Frontal_Inf_Oper_thickness;S02_Frontal_Inf_Oper_surface_area;S03_Lfrontal,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,7,8,Frontal_Inf_Oper_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_Inferior_Frontal;S02_Frontal_Inf_Oper_thickness;S02_Frontal_Inf_Oper_surface_area;S03_Rtemporal,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,8,9,Frontal_Inf_Tri_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_Inferior_Frontal;S02_Frontal_Inf_Tri_thickness;S02_Frontal_Inf_Tri_surface_area;S03_Lfrontal,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,9,10,Frontal_Inf_Tri_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_Inferior_Frontal;S02_Frontal_Inf_Tri_thickness;S02_Frontal_Inf_Tri_surface_area;S03_Rtemporal,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,10,11,Frontal_Inf_Orb_2_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_Inferior_Frontal;S02_Frontal_Inf_Orb_2_thickness;S02_Frontal_Inf_Orb_2_surface_area;S03_Lfrontal,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,11,12,Frontal_Inf_Orb_2_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_Inferior_Frontal;S02_Frontal_Inf_Orb_2_thickness;S02_Frontal_Inf_Orb_2_surface_area;S03_Rtemporal,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,12,13,Rolandic_Oper_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S06,S06_Frontal_GM,lower,MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,13,14,Rolandic_Oper_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S06,S06_Frontal_GM,lower,MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,14,15,Supp_Motor_Area_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Frontal_GM;S02_Supp_Motor_Area_thickness;S02_Supp_Motor_Area_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,15,16,Supp_Motor_Area_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Frontal_GM;S02_Supp_Motor_Area_thickness;S02_Supp_Motor_Area_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,16,17,Olfactory_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S20,S20_olfactory,lower,SPM8 DARTEL modulated GM volume maps;8mm smoothing,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,17,18,Olfactory_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S20;S21,S20_olfactory;S21_olfactory_sulcus,lower,SPM8 DARTEL modulated GM volume maps;8mm smoothing;right olfactory/medial orbital sulcus cortical thickness,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,18,19,Frontal_Sup_Medial_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_Superior_Frontal;S02_Frontal_Sup_Medial_thickness;S02_Frontal_Sup_Medial_surface_area;S03_ACC,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,19,20,Frontal_Sup_Medial_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Superior_Frontal;S02_Frontal_Sup_Medial_thickness;S02_Frontal_Sup_Medial_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,20,21,Frontal_Med_Orb_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Orbitofrontal;S02_Frontal_Med_Orb_thickness;S02_Frontal_Med_Orb_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,21,22,Frontal_Med_Orb_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_Orbitofrontal;S02_Frontal_Med_Orb_thickness;S02_Frontal_Med_Orb_surface_area;S03_ACC,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,22,23,Rectus_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Orbitofrontal;S02_Rectus_thickness;S02_Rectus_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,23,24,Rectus_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_Orbitofrontal;S02_Rectus_thickness;S02_Rectus_surface_area;S03_ACC,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,24,25,OFCmed_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Orbitofrontal;S02_OFCmed_thickness;S02_OFCmed_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,25,26,OFCmed_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06;S21,S06_Orbitofrontal;S02_OFCmed_thickness;S02_OFCmed_surface_area;S21_olfactory_sulcus,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;right olfactory/medial orbital sulcus cortical thickness,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,26,27,OFCant_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Orbitofrontal;S02_OFCant_thickness;S02_OFCant_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,27,28,OFCant_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06;S21,S06_Orbitofrontal;S02_OFCant_thickness;S02_OFCant_surface_area;S21_olfactory_sulcus,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;right olfactory/medial orbital sulcus cortical thickness,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,28,29,OFCpost_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Orbitofrontal;S02_OFCpost_thickness;S02_OFCpost_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,29,30,OFCpost_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06;S21,S06_Orbitofrontal;S02_OFCpost_thickness;S02_OFCpost_surface_area;S21_olfactory_sulcus,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;right olfactory/medial orbital sulcus cortical thickness,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,30,31,OFClat_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Orbitofrontal;S02_OFClat_thickness;S02_OFClat_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,31,32,OFClat_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06;S21,S06_Orbitofrontal;S02_OFClat_thickness;S02_OFClat_surface_area;S21_olfactory_sulcus,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;right olfactory/medial orbital sulcus cortical thickness,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,32,33,Insula_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_Insula;S02_Insula_thickness;S02_Insula_surface_area;S03_Lfrontal,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,33,34,Insula_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_Insula;S02_Insula_thickness;S02_Insula_surface_area;S03_Rtemporal,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,34,37,Cingulate_Mid_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03,S02_Cingulate_Mid_thickness;S02_Cingulate_Mid_surface_area;S03_ACC,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,35,38,Cingulate_Mid_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03,S02_Cingulate_Mid_thickness;S02_Cingulate_Mid_surface_area;S03_ACC,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,36,39,Cingulate_Post_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Posterior_Cingulate;S02_Cingulate_Post_thickness;S02_Cingulate_Post_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,37,40,Cingulate_Post_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Posterior_Cingulate;S02_Cingulate_Post_thickness;S02_Cingulate_Post_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,38,41,Hippocampus_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S01;S06,S01_Hippocampus;S06_Hippocampus;S06_naive_Hippocampus,lower,"FreeSurfer subcortical volume adjusted for age, sex and ICV;MRI regional volumes; heterogeneous segmentation; bilateral combined",False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,39,42,Hippocampus_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S01;S06,S01_Hippocampus;S06_Hippocampus;S06_naive_Hippocampus,lower,"FreeSurfer subcortical volume adjusted for age, sex and ICV;MRI regional volumes; heterogeneous segmentation; bilateral combined",False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,40,43,ParaHippocampal_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_Parahippocampal;S02_ParaHippocampal_thickness;S02_ParaHippocampal_surface_area;S03_Lfrontal,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,41,44,ParaHippocampal_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_Parahippocampal;S02_ParaHippocampal_thickness;S02_ParaHippocampal_surface_area;S03_Rtemporal,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,42,45,Amygdala_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S01;S03;S06,S01_Amygdala;S06_Amygdala;S03_Lfrontal,lower,"FreeSurfer subcortical volume adjusted for age, sex and ICV;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z",False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,43,46,Amygdala_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S01;S03;S06,S01_Amygdala;S06_Amygdala;S03_Rtemporal,lower,"FreeSurfer subcortical volume adjusted for age, sex and ICV;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z",False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,44,47,Calcarine_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Occipital_GM;S02_Calcarine_thickness;S02_Calcarine_surface_area,lower;no_detected_difference,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,45,48,Calcarine_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Occipital_GM;S02_Calcarine_thickness;S02_Calcarine_surface_area,lower;no_detected_difference,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,46,49,Cuneus_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Occipital_GM;S02_Cuneus_thickness;S02_Cuneus_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
