space,column_index,label_id,feature_name,factor_family,homolog_group,baseline_median_assumed,background_log_sd_assumed,source_evidence_ids,reference_volume_d,transfer_factor_assumed,central_standardized_effect,epistemic_sd_metadata_only,effect_provenance,rationale,all_coverage_source_ids
FIRST,10,53,Right_Hippocampus,limbic,Hippocampus,3800,0.12,S01_Hippocampus,-0.46,1.0,-0.46,0.06122448979591835,published_volume_d_with_transfer_assumptions,Published bilateral FreeSurfer volume d used as an approximate standardized FIRST volume prior; segmentation and laterality transfer remain assumptions.,S01;S06
FIRST,11,18,Left_Amygdala,limbic,Amygdala,1400,0.12,S01_Amygdala,-0.31,1.0,-0.31,0.061224489795918366,published_volume_d_with_transfer_assumptions,Published bilateral FreeSurfer volume d used as an approximate standardized FIRST volume prior; segmentation and laterality transfer remain assumptions.,S01
FIRST,12,54,Right_Amygdala,limbic,Amygdala,1400,0.12,S01_Amygdala,-0.31,1.0,-0.31,0.061224489795918366,published_volume_d_with_transfer_assumptions,Published bilateral FreeSurfer volume d used as an approximate standardized FIRST volume prior; segmentation and laterality transfer remain assumptions.,S01
FIRST,13,26,Left_Accumbens,basal_ganglia,Accumbens,550,0.12,S01_Accumbens,-0.25,1.0,-0.25,0.05612244897959183,published_volume_d_with_transfer_assumptions,Published bilateral FreeSurfer volume d used as an approximate standardized FIRST volume prior; segmentation and laterality transfer remain assumptions.,S01
FIRST,14,58,Right_Accumbens,basal_ganglia,Accumbens,550,0.12,S01_Accumbens,-0.25,1.0,-0.25,0.05612244897959183,published_volume_d_with_transfer_assumptions,Published bilateral FreeSurfer volume d used as an approximate standardized FIRST volume prior; segmentation and laterality transfer remain assumptions.,S01
AAL3,0,1,Precentral_L,frontal,Precentral,0.5,0.18,S06_Frontal_GM,-0.49,0.35,-0.17149999999999999,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,1,2,Precentral_R,frontal,Precentral,0.5,0.18,S06_Frontal_GM,-0.49,0.35,-0.17149999999999999,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,2,3,Frontal_Sup_2_L,frontal,Frontal_Sup_2,0.5,0.18,S06_Superior_Frontal,-0.29,0.6,-0.174,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,3,4,Frontal_Sup_2_R,frontal,Frontal_Sup_2,0.5,0.18,S06_Superior_Frontal,-0.29,0.6,-0.174,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,4,5,Frontal_Mid_2_L,frontal,Frontal_Mid_2,0.5,0.18,S06_Middle_Frontal,-0.32,0.6,-0.192,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,5,6,Frontal_Mid_2_R,frontal,Frontal_Mid_2,0.5,0.18,S06_Middle_Frontal,-0.32,0.6,-0.192,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,6,7,Frontal_Inf_Oper_L,frontal,Frontal_Inf_Oper,0.5,0.18,S06_Inferior_Frontal,-0.41,0.6,-0.24599999999999997,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,7,8,Frontal_Inf_Oper_R,frontal,Frontal_Inf_Oper,0.5,0.18,S06_Inferior_Frontal,-0.41,0.6,-0.24599999999999997,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,8,9,Frontal_Inf_Tri_L,frontal,Frontal_Inf_Tri,0.5,0.18,S06_Inferior_Frontal,-0.41,0.6,-0.24599999999999997,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,9,10,Frontal_Inf_Tri_R,frontal,Frontal_Inf_Tri,0.5,0.18,S06_Inferior_Frontal,-0.41,0.6,-0.24599999999999997,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,10,11,Frontal_Inf_Orb_2_L,frontal,Frontal_Inf_Orb_2,0.5,0.18,S06_Inferior_Frontal,-0.41,0.6,-0.24599999999999997,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,11,12,Frontal_Inf_Orb_2_R,frontal,Frontal_Inf_Orb_2,0.5,0.18,S06_Inferior_Frontal,-0.41,0.6,-0.24599999999999997,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,12,13,Rolandic_Oper_L,frontal,Rolandic_Oper,0.5,0.18,S06_Frontal_GM,-0.49,0.35,-0.17149999999999999,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S06
AAL3,13,14,Rolandic_Oper_R,frontal,Rolandic_Oper,0.5,0.18,S06_Frontal_GM,-0.49,0.35,-0.17149999999999999,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S06
AAL3,14,15,Supp_Motor_Area_L,frontal,Supp_Motor_Area,0.5,0.18,S06_Frontal_GM,-0.49,0.35,-0.17149999999999999,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,15,16,Supp_Motor_Area_R,frontal,Supp_Motor_Area,0.5,0.18,S06_Frontal_GM,-0.49,0.35,-0.17149999999999999,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,16,17,Olfactory_L,limbic,Olfactory,0.5,0.18,S20_olfactory,,,-0.12,0.15,explicit_assumption,Assumed small standardized GM-intensity effect from a regional modulated-VBM reduction; peak T is not converted into d.,S20
AAL3,17,18,Olfactory_R,limbic,Olfactory,0.5,0.18,S20_olfactory,,,-0.12,0.15,explicit_assumption,Assumed small standardized GM-intensity effect from a regional modulated-VBM reduction; peak T is not converted into d.,S20;S21
AAL3,18,19,Frontal_Sup_Medial_L,frontal,Frontal_Sup_Medial,0.5,0.18,S06_Superior_Frontal,-0.29,0.6,-0.174,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,19,20,Frontal_Sup_Medial_R,frontal,Frontal_Sup_Medial,0.5,0.18,S06_Superior_Frontal,-0.29,0.6,-0.174,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,20,21,Frontal_Med_Orb_L,frontal,Frontal_Med_Orb,0.5,0.18,S06_Orbitofrontal,-0.21,0.6,-0.126,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,21,22,Frontal_Med_Orb_R,frontal,Frontal_Med_Orb,0.5,0.18,S06_Orbitofrontal,-0.21,0.6,-0.126,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,22,23,Rectus_L,frontal,Rectus,0.5,0.18,S06_Orbitofrontal,-0.21,0.6,-0.126,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,23,24,Rectus_R,frontal,Rectus,0.5,0.18,S06_Orbitofrontal,-0.21,0.6,-0.126,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,24,25,OFCmed_L,frontal,OFCmed,0.5,0.18,S06_Orbitofrontal,-0.21,0.6,-0.126,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,25,26,OFCmed_R,frontal,OFCmed,0.5,0.18,S06_Orbitofrontal,-0.21,0.6,-0.126,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06;S21
AAL3,26,27,OFCant_L,frontal,OFCant,0.5,0.18,S06_Orbitofrontal,-0.21,0.6,-0.126,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,27,28,OFCant_R,frontal,OFCant,0.5,0.18,S06_Orbitofrontal,-0.21,0.6,-0.126,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06;S21
AAL3,28,29,OFCpost_L,frontal,OFCpost,0.5,0.18,S06_Orbitofrontal,-0.21,0.6,-0.126,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,29,30,OFCpost_R,frontal,OFCpost,0.5,0.18,S06_Orbitofrontal,-0.21,0.6,-0.126,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06;S21
AAL3,30,31,OFClat_L,frontal,OFClat,0.5,0.18,S06_Orbitofrontal,-0.21,0.6,-0.126,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,31,32,OFClat_R,frontal,OFClat,0.5,0.18,S06_Orbitofrontal,-0.21,0.6,-0.126,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06;S21
AAL3,32,33,Insula_L,limbic,Insula,0.5,0.18,S06_Insula,-0.44,0.6,-0.264,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,33,34,Insula_R,limbic,Insula,0.5,0.18,S06_Insula,-0.44,0.6,-0.264,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,34,37,Cingulate_Mid_L,limbic,Cingulate_Mid,0.5,0.18,S03_ACC,,,-0.15,0.15,explicit_assumption,Assumed small standardized effect from VBM cluster territory; SDM-Z is not an effect-size coefficient.,S02;S03
AAL3,35,38,Cingulate_Mid_R,limbic,Cingulate_Mid,0.5,0.18,S03_ACC,,,-0.15,0.15,explicit_assumption,Assumed small standardized effect from VBM cluster territory; SDM-Z is not an effect-size coefficient.,S02;S03
AAL3,36,39,Cingulate_Post_L,limbic,Cingulate_Post,0.5,0.18,S06_Posterior_Cingulate,-0.32,0.6,-0.192,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,37,40,Cingulate_Post_R,limbic,Cingulate_Post,0.5,0.18,S06_Posterior_Cingulate,-0.32,0.6,-0.192,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,38,41,Hippocampus_L,limbic,Hippocampus,0.5,0.18,S06_Hippocampus,-0.52,0.6,-0.312,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S01;S06
AAL3,39,42,Hippocampus_R,limbic,Hippocampus,0.5,0.18,S06_Hippocampus,-0.52,0.6,-0.312,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S01;S06
AAL3,40,43,ParaHippocampal_L,limbic,ParaHippocampal,0.5,0.18,S06_Parahippocampal,-0.24,0.6,-0.144,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,41,44,ParaHippocampal_R,limbic,ParaHippocampal,0.5,0.18,S06_Parahippocampal,-0.24,0.6,-0.144,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,42,45,Amygdala_L,limbic,Amygdala,0.5,0.18,S06_Amygdala,-0.31,0.6,-0.186,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S01;S03;S06
AAL3,43,46,Amygdala_R,limbic,Amygdala,0.5,0.18,S06_Amygdala,-0.31,0.6,-0.186,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S01;S03;S06
AAL3,44,47,Calcarine_L,occipital,Calcarine,0.5,0.18,S06_Occipital_GM,-0.22,0.35,-0.077,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,45,48,Calcarine_R,occipital,Calcarine,0.5,0.18,S06_Occipital_GM,-0.22,0.35,-0.077,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,46,49,Cuneus_L,occipital,Cuneus,0.5,0.18,S06_Occipital_GM,-0.22,0.35,-0.077,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,47,50,Cuneus_R,occipital,Cuneus,0.5,0.18,S06_Occipital_GM,-0.22,0.35,-0.077,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,48,51,Lingual_L,occipital,Lingual,0.5,0.18,S06_Occipital_GM,-0.22,0.35,-0.077,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,49,52,Lingual_R,occipital,Lingual,0.5,0.18,S06_Occipital_GM,-0.22,0.35,-0.077,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,50,53,Occipital_Sup_L,occipital,Occipital_Sup,0.5,0.18,S06_Occipital_GM,-0.22,0.35,-0.077,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,51,54,Occipital_Sup_R,occipital,Occipital_Sup,0.5,0.18,S06_Occipital_GM,-0.22,0.35,-0.077,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,52,55,Occipital_Mid_L,occipital,Occipital_Mid,0.5,0.18,S06_Occipital_GM,-0.22,0.35,-0.077,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,53,56,Occipital_Mid_R,occipital,Occipital_Mid,0.5,0.18,S06_Occipital_GM,-0.22,0.35,-0.077,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,54,57,Occipital_Inf_L,occipital,Occipital_Inf,0.5,0.18,S06_Occipital_GM,-0.22,0.35,-0.077,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,55,58,Occipital_Inf_R,occipital,Occipital_Inf,0.5,0.18,S06_Occipital_GM,-0.22,0.35,-0.077,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,56,59,Fusiform_L,temporal,Fusiform,0.5,0.18,S06_Fusiform,-0.52,0.6,-0.312,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,57,60,Fusiform_R,temporal,Fusiform,0.5,0.18,S06_Fusiform,-0.52,0.6,-0.312,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,58,61,Postcentral_L,parietal,Postcentral,0.5,0.18,S06_Parietal_GM,-0.31,0.35,-0.1085,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,59,62,Postcentral_R,parietal,Postcentral,0.5,0.18,S06_Parietal_GM,-0.31,0.35,-0.1085,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,60,63,Parietal_Sup_L,parietal,Parietal_Sup,0.5,0.18,S06_Parietal_GM,-0.31,0.35,-0.1085,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,61,64,Parietal_Sup_R,parietal,Parietal_Sup,0.5,0.18,S06_Parietal_GM,-0.31,0.35,-0.1085,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,62,65,Parietal_Inf_L,parietal,Parietal_Inf,0.5,0.18,S06_Parietal_GM,-0.31,0.35,-0.1085,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,63,66,Parietal_Inf_R,parietal,Parietal_Inf,0.5,0.18,S06_Parietal_GM,-0.31,0.35,-0.1085,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,64,67,SupraMarginal_L,parietal,SupraMarginal,0.5,0.18,S06_Parietal_GM,-0.31,0.35,-0.1085,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,65,68,SupraMarginal_R,parietal,SupraMarginal,0.5,0.18,S06_Parietal_GM,-0.31,0.35,-0.1085,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,66,69,Angular_L,parietal,Angular,0.5,0.18,S06_Parietal_GM,-0.31,0.35,-0.1085,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,67,70,Angular_R,parietal,Angular,0.5,0.18,S06_Parietal_GM,-0.31,0.35,-0.1085,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,68,71,Precuneus_L,parietal,Precuneus,0.5,0.18,S06_Parietal_GM,-0.31,0.35,-0.1085,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,69,72,Precuneus_R,parietal,Precuneus,0.5,0.18,S06_Parietal_GM,-0.31,0.35,-0.1085,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,70,73,Paracentral_Lobule_L,parietal,Paracentral_Lobule,0.5,0.18,S06_Parietal_GM,-0.31,0.35,-0.1085,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,71,74,Paracentral_Lobule_R,parietal,Paracentral_Lobule,0.5,0.18,S06_Parietal_GM,-0.31,0.35,-0.1085,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,72,75,Caudate_L,basal_ganglia,Caudate,0.5,0.18,S06_Caudate,-0.03,0.6,-0.018,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S01;S06;S17
AAL3,73,76,Caudate_R,basal_ganglia,Caudate,0.5,0.18,S06_Caudate,-0.03,0.6,-0.018,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S01;S06;S17
