evidence_id,source_id,source_region,source_hemisphere,subgroup,measurement,direction,effect_statistic,effect,ci95_lower,ci95_upper,uncertainty,population,medication,stage,source_locator,interpretation
S06_Caudate,S06,Caudate,bilateral,medicated,MRI regional volumes; heterogeneous segmentation; bilateral combined,no_detected_difference,Cohen_d,-0.03,-0.14,0.07,,"medicated:8327 schizophrenia/8292 controls,347 samples;naive:771/939,35 samples",medicated and never-medicated separated,medicated mean duration 10.0 years;naive 3.1 years,"Table2, original pooled estimate; not trim-and-fill column",Bilateral source region; not an AAL3 parcel effect.
S06_Putamen,S06,Putamen,bilateral,medicated,MRI regional volumes; heterogeneous segmentation; bilateral combined,no_detected_difference,Cohen_d,0.1,-0.07,0.26,,"medicated:8327 schizophrenia/8292 controls,347 samples;naive:771/939,35 samples",medicated and never-medicated separated,medicated mean duration 10.0 years;naive 3.1 years,"Table2, original pooled estimate; not trim-and-fill column",Bilateral source region; not an AAL3 parcel effect.
S06_Pallidum,S06,Pallidum,bilateral,medicated,MRI regional volumes; heterogeneous segmentation; bilateral combined,higher,Cohen_d,0.26,0.02,0.5,,"medicated:8327 schizophrenia/8292 controls,347 samples;naive:771/939,35 samples",medicated and never-medicated separated,medicated mean duration 10.0 years;naive 3.1 years,"Table2, original pooled estimate; not trim-and-fill column",Bilateral source region; not an AAL3 parcel effect.
S06_Accumbens,S06,Accumbens,bilateral,medicated,MRI regional volumes; heterogeneous segmentation; bilateral combined,lower,Cohen_d,-0.29,-0.53,-0.05,,"medicated:8327 schizophrenia/8292 controls,347 samples;naive:771/939,35 samples",medicated and never-medicated separated,medicated mean duration 10.0 years;naive 3.1 years,"Table2, original pooled estimate; not trim-and-fill column",Bilateral source region; not an AAL3 parcel effect.
S06_naive_Thalamus,S06,Thalamus,bilateral,never exposed to antipsychotics,MRI regional volumes; heterogeneous segmentation; bilateral combined,lower,Cohen_d,-0.68,-1.08,-0.28,,"medicated:8327 schizophrenia/8292 controls,347 samples;naive:771/939,35 samples",medicated and never-medicated separated,medicated mean duration 10.0 years;naive 3.1 years,Table3,
S06_naive_Caudate,S06,Caudate,bilateral,never exposed to antipsychotics,MRI regional volumes; heterogeneous segmentation; bilateral combined,lower,Cohen_d,-0.38,-0.54,-0.23,,"medicated:8327 schizophrenia/8292 controls,347 samples;naive:771/939,35 samples",medicated and never-medicated separated,medicated mean duration 10.0 years;naive 3.1 years,Table3,
S06_naive_Hippocampus,S06,Hippocampus,bilateral,never exposed to antipsychotics,MRI regional volumes; heterogeneous segmentation; bilateral combined,lower,Cohen_d,-0.43,-0.63,-0.24,,"medicated:8327 schizophrenia/8292 controls,347 samples;naive:771/939,35 samples",medicated and never-medicated separated,medicated mean duration 10.0 years;naive 3.1 years,Table3,
S02_Precentral_thickness,S02,precentral,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Precentral_surface_area,S02,precentral,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Frontal_Sup_2_thickness,S02,superiorfrontal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Frontal_Sup_2_surface_area,S02,superiorfrontal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Frontal_Mid_2_thickness,S02,caudalmiddlefrontal/rostralmiddlefrontal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Frontal_Mid_2_surface_area,S02,caudalmiddlefrontal/rostralmiddlefrontal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Frontal_Inf_Oper_thickness,S02,parsopercularis,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Frontal_Inf_Oper_surface_area,S02,parsopercularis,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Frontal_Inf_Tri_thickness,S02,parstriangularis,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Frontal_Inf_Tri_surface_area,S02,parstriangularis,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Frontal_Inf_Orb_2_thickness,S02,parsorbitalis,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Frontal_Inf_Orb_2_surface_area,S02,parsorbitalis,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Supp_Motor_Area_thickness,S02,superiorfrontal/precentral,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Supp_Motor_Area_surface_area,S02,superiorfrontal/precentral,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Frontal_Sup_Medial_thickness,S02,superiorfrontal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Frontal_Sup_Medial_surface_area,S02,superiorfrontal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Frontal_Med_Orb_thickness,S02,medialorbitofrontal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Frontal_Med_Orb_surface_area,S02,medialorbitofrontal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Rectus_thickness,S02,medialorbitofrontal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Rectus_surface_area,S02,medialorbitofrontal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_OFCmed_thickness,S02,medialorbitofrontal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_OFCmed_surface_area,S02,medialorbitofrontal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_OFCant_thickness,S02,medialorbitofrontal/lateralorbitofrontal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_OFCant_surface_area,S02,medialorbitofrontal/lateralorbitofrontal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_OFCpost_thickness,S02,medialorbitofrontal/lateralorbitofrontal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_OFCpost_surface_area,S02,medialorbitofrontal/lateralorbitofrontal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_OFClat_thickness,S02,lateralorbitofrontal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_OFClat_surface_area,S02,lateralorbitofrontal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Insula_thickness,S02,insula,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Insula_surface_area,S02,insula,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Cingulate_Mid_thickness,S02,caudalanteriorcingulate/posteriorcingulate,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Cingulate_Mid_surface_area,S02,caudalanteriorcingulate/posteriorcingulate,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Cingulate_Post_thickness,S02,posteriorcingulate/isthmuscingulate,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Cingulate_Post_surface_area,S02,posteriorcingulate/isthmuscingulate,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed. Isthmus cingulate exception: no detected area reduction; posterior-cingulate and isthmus cannot be collapsed into one exact AAL3 effect."
S02_ParaHippocampal_thickness,S02,parahippocampal/entorhinal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_ParaHippocampal_surface_area,S02,parahippocampal/entorhinal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
