column_index,label_id,feature_name,atlas,disease,coverage_status,evidence_consistency,association_count,reference_ids,search_scope,search_alias,coverage_limit
5,51,R_Putamen,FIRST,AD,parent_region_extrapolation,see_individual_associations,3,Fjell2010;Ledig2018;Yi2016,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",R Putamen,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
5,51,R_Putamen,FIRST,MCI,direct,mixed_significance_or_measurement,4,Fjell2010;Ledig2018;MCI2016;Yi2016,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",R Putamen,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
6,13,L_Pallidum,FIRST,AD,parent_region_extrapolation,conflicting_directions,3,Fjell2010;Ledig2018;Yi2016,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",L Pallidum,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
6,13,L_Pallidum,FIRST,MCI,direct,conflicting_directions,4,Fjell2010;Ledig2018;MCI2016;Yi2016,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",L Pallidum,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
7,52,R_Pallidum,FIRST,AD,parent_region_extrapolation,conflicting_directions,3,Fjell2010;Ledig2018;Yi2016,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",R Pallidum,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
7,52,R_Pallidum,FIRST,MCI,direct,conflicting_directions,4,Fjell2010;Ledig2018;MCI2016;Yi2016,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",R Pallidum,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
8,16,BrainStem,FIRST,AD,direct,conflicting_directions,3,Dutt2020;Ledig2018,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",BrainStem,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
8,16,BrainStem,FIRST,MCI,direct,see_individual_associations,3,Dutt2020;Ledig2018,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",BrainStem,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
9,17,L_Hippocampus,FIRST,AD,direct,see_individual_associations,3,Fjell2010;Ledig2018;Yi2016,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",L Hippocampus,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
9,17,L_Hippocampus,FIRST,MCI,direct,see_individual_associations,4,Fjell2010;Ledig2018;MCI2016;Yi2016,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",L Hippocampus,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
10,53,R_Hippocampus,FIRST,AD,direct,see_individual_associations,3,Fjell2010;Ledig2018;Yi2016,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",R Hippocampus,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
10,53,R_Hippocampus,FIRST,MCI,direct,see_individual_associations,4,Fjell2010;Ledig2018;MCI2016;Yi2016,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",R Hippocampus,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
11,18,L_Amygdala,FIRST,AD,direct,see_individual_associations,3,Fjell2010;Ledig2018;Yi2016,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",L Amygdala,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
11,18,L_Amygdala,FIRST,MCI,direct,mixed_significance_or_measurement,4,Fjell2010;Ledig2018;MCI2016;Yi2016,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",L Amygdala,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
12,54,R_Amygdala,FIRST,AD,direct,see_individual_associations,3,Fjell2010;Ledig2018;Yi2016,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",R Amygdala,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
12,54,R_Amygdala,FIRST,MCI,direct,see_individual_associations,4,Fjell2010;Ledig2018;MCI2016;Yi2016,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",R Amygdala,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
13,26,L_Accumbens,FIRST,AD,parent_region_extrapolation,see_individual_associations,3,Fjell2010;Ledig2018;Yi2016,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",L Accumbens,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
13,26,L_Accumbens,FIRST,MCI,direct,see_individual_associations,5,Banerjee2025;Fjell2010;Ledig2018;MCI2016;Yi2016,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",L Accumbens,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
14,58,R_Accumbens,FIRST,AD,parent_region_extrapolation,see_individual_associations,3,Fjell2010;Ledig2018;Yi2016,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",R Accumbens,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
14,58,R_Accumbens,FIRST,MCI,direct,mixed_significance_or_measurement,5,Banerjee2025;Fjell2010;Ledig2018;MCI2016;Yi2016,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",R Accumbens,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
0,1,Precentral_L,AAL3,AD,parent_region_extrapolation,see_individual_associations,2,Frontal2026;Ledig2018,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Precentral L,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
0,1,Precentral_L,AAL3,MCI,parent_region_extrapolation,conflicting_directions,2,Frontal2026;Ledig2018,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Precentral L,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
1,2,Precentral_R,AAL3,AD,parent_region_extrapolation,see_individual_associations,2,Frontal2026;Ledig2018,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Precentral R,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
1,2,Precentral_R,AAL3,MCI,parent_region_extrapolation,conflicting_directions,2,Frontal2026;Ledig2018,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Precentral R,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
2,3,Frontal_Sup_2_L,AAL3,AD,parent_region_extrapolation,mixed_significance_or_measurement,3,Frontal2026;Kang2024;Ledig2018,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Frontal Sup 2 L,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
2,3,Frontal_Sup_2_L,AAL3,MCI,parent_region_extrapolation,conflicting_directions,3,Frontal2026;Kang2024;Ledig2018,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Frontal Sup 2 L,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
3,4,Frontal_Sup_2_R,AAL3,AD,parent_region_extrapolation,mixed_significance_or_measurement,3,Frontal2026;Kang2024;Ledig2018,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Frontal Sup 2 R,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
3,4,Frontal_Sup_2_R,AAL3,MCI,parent_region_extrapolation,conflicting_directions,3,Frontal2026;Kang2024;Ledig2018,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Frontal Sup 2 R,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
4,5,Frontal_Mid_2_L,AAL3,AD,parent_region_extrapolation,mixed_significance_or_measurement,3,Frontal2026;Kang2024;Ledig2018,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Frontal Mid 2 L,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
4,5,Frontal_Mid_2_L,AAL3,MCI,parent_region_extrapolation,see_individual_associations,3,Frontal2026;Kang2024;Ledig2018,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Frontal Mid 2 L,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
5,6,Frontal_Mid_2_R,AAL3,AD,parent_region_extrapolation,mixed_significance_or_measurement,3,Frontal2026;Kang2024;Ledig2018,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Frontal Mid 2 R,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
5,6,Frontal_Mid_2_R,AAL3,MCI,parent_region_extrapolation,see_individual_associations,3,Frontal2026;Kang2024;Ledig2018,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Frontal Mid 2 R,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
6,7,Frontal_Inf_Oper_L,AAL3,AD,parent_region_extrapolation,see_individual_associations,4,Frontal2026;Kang2024;Ledig2018;Wang2015,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Frontal Inf Oper L,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
6,7,Frontal_Inf_Oper_L,AAL3,MCI,direct,conflicting_directions,4,Frontal2026;Kang2024;Ledig2018;MCI2023,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Frontal Inf Oper L,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
7,8,Frontal_Inf_Oper_R,AAL3,AD,parent_region_extrapolation,see_individual_associations,3,Frontal2026;Kang2024;Ledig2018,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Frontal Inf Oper R,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
7,8,Frontal_Inf_Oper_R,AAL3,MCI,direct,conflicting_directions,4,Frontal2026;Kang2024;Ledig2018;MCI2023,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Frontal Inf Oper R,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
8,9,Frontal_Inf_Tri_L,AAL3,AD,parent_region_extrapolation,mixed_significance_or_measurement,4,Frontal2026;Kang2024;Ledig2018;Wang2015,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Frontal Inf Tri L,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
8,9,Frontal_Inf_Tri_L,AAL3,MCI,parent_region_extrapolation,see_individual_associations,3,Frontal2026;Kang2024;Ledig2018,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Frontal Inf Tri L,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
9,10,Frontal_Inf_Tri_R,AAL3,AD,parent_region_extrapolation,mixed_significance_or_measurement,3,Frontal2026;Kang2024;Ledig2018,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Frontal Inf Tri R,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
9,10,Frontal_Inf_Tri_R,AAL3,MCI,parent_region_extrapolation,see_individual_associations,3,Frontal2026;Kang2024;Ledig2018,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Frontal Inf Tri R,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
10,11,Frontal_Inf_Orb_2_L,AAL3,AD,parent_region_extrapolation,see_individual_associations,4,Frontal2026;Kang2024;Ledig2018;Wang2015,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Frontal Inf Orb 2 L,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
10,11,Frontal_Inf_Orb_2_L,AAL3,MCI,direct,conflicting_directions,4,Frontal2026;Kang2024;Ledig2018;MCI2023,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Frontal Inf Orb 2 L,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
11,12,Frontal_Inf_Orb_2_R,AAL3,AD,parent_region_extrapolation,see_individual_associations,3,Frontal2026;Kang2024;Ledig2018,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Frontal Inf Orb 2 R,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
11,12,Frontal_Inf_Orb_2_R,AAL3,MCI,parent_region_extrapolation,conflicting_directions,3,Frontal2026;Kang2024;Ledig2018,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Frontal Inf Orb 2 R,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
12,13,Rolandic_Oper_L,AAL3,AD,direct,mixed_significance_or_measurement,2,Ledig2018;Wang2015,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Rolandic Oper L,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
12,13,Rolandic_Oper_L,AAL3,MCI,direct,see_individual_associations,2,Ledig2018;MCI2023,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Rolandic Oper L,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
13,14,Rolandic_Oper_R,AAL3,AD,direct,mixed_significance_or_measurement,2,Ledig2018;Wang2015,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Rolandic Oper R,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
13,14,Rolandic_Oper_R,AAL3,MCI,direct,see_individual_associations,2,Ledig2018;MCI2023,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Rolandic Oper R,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
14,15,Supp_Motor_Area_L,AAL3,AD,parent_region_extrapolation,see_individual_associations,3,Frontal2026;Kang2024;Ledig2018,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Supp Motor Area L,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
14,15,Supp_Motor_Area_L,AAL3,MCI,parent_region_extrapolation,conflicting_directions,3,Frontal2026;Kang2024;Ledig2018,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Supp Motor Area L,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
15,16,Supp_Motor_Area_R,AAL3,AD,parent_region_extrapolation,see_individual_associations,3,Frontal2026;Kang2024;Ledig2018,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Supp Motor Area R,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
15,16,Supp_Motor_Area_R,AAL3,MCI,parent_region_extrapolation,conflicting_directions,3,Frontal2026;Kang2024;Ledig2018,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Supp Motor Area R,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
16,17,Olfactory_L,AAL3,AD,direct,see_individual_associations,2,Olfactory2025,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Olfactory L,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
16,17,Olfactory_L,AAL3,MCI,direct,see_individual_associations,3,MCI2023;Olfactory2025,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Olfactory L,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
17,18,Olfactory_R,AAL3,AD,direct,see_individual_associations,2,Olfactory2025,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Olfactory R,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
17,18,Olfactory_R,AAL3,MCI,direct,see_individual_associations,3,MCI2023;Olfactory2025,"2026-09-08 whole-brain AD/MCI GMV primary/meta tables plus FIRST, frontal, cerebellar, thalamic and brainstem targeted searches; atlas label + anatomical parent/synonym screening",Olfactory R,Not exhaustive. No retrieved effect does not mean no association. Parent/cluster/other-modality evidence cannot establish exact AAL3/FIRST GMV effect.
