Field_ID,Description,Unit,generation_rule,missingness_assumption
50,Standing height,cm,"clip(162+13 sex−0.05(age−55)+6.2 Z,145,194)",Shared physical-visit missingness Bernoulli(0.005); Independent physical-item missingness Bernoulli(0.006)
20015,Sitting height,cm,"clip(height(0.522+0.009 Z),70,110)",Shared physical-visit missingness Bernoulli(0.005); Independent physical-item missingness Bernoulli(0.006)
23115,Leg fat percentage (left),%,100 segment_fat/(segment_fat+segment_lean),Shared physical-visit missingness Bernoulli(0.005); Shared impedance-session missingness Bernoulli(0.018)
23111,Leg fat percentage (right),%,100 segment_fat/(segment_fat+segment_lean),Shared physical-visit missingness Bernoulli(0.005); Shared impedance-session missingness Bernoulli(0.018)
23116,Leg fat mass (left),kg,whole_fat × (0.18+f+0.5s); share symbols defined in MODEL_SPEC,Shared physical-visit missingness Bernoulli(0.005); Shared impedance-session missingness Bernoulli(0.018)
23112,Leg fat mass (right),kg,whole_fat × (0.18+f−0.5s); share symbols defined in MODEL_SPEC,Shared physical-visit missingness Bernoulli(0.005); Shared impedance-session missingness Bernoulli(0.018)
23117,Leg fat-free mass (left),kg,whole_lean × (0.185+l+s); share symbols defined in MODEL_SPEC,Shared physical-visit missingness Bernoulli(0.005); Shared impedance-session missingness Bernoulli(0.018)
23113,Leg fat-free mass (right),kg,whole_lean × (0.185+l−s); share symbols defined in MODEL_SPEC,Shared physical-visit missingness Bernoulli(0.005); Shared impedance-session missingness Bernoulli(0.018)
23118,Leg predicted mass (left),kg,0.96 segment_lean; assumed muscle-like predicted mass excludes4% other lean tissue,Shared physical-visit missingness Bernoulli(0.005); Shared impedance-session missingness Bernoulli(0.018)
23114,Leg predicted mass (right),kg,0.96 segment_lean; assumed muscle-like predicted mass excludes4% other lean tissue,Shared physical-visit missingness Bernoulli(0.005); Shared impedance-session missingness Bernoulli(0.018)
23123,Arm fat percentage (left),%,100 segment_fat/(segment_fat+segment_lean),Shared physical-visit missingness Bernoulli(0.005); Shared impedance-session missingness Bernoulli(0.018)
23119,Arm fat percentage (right),%,100 segment_fat/(segment_fat+segment_lean),Shared physical-visit missingness Bernoulli(0.005); Shared impedance-session missingness Bernoulli(0.018)
23124,Arm fat mass (left),kg,whole_fat × (0.045+g+0.5s); share symbols defined in MODEL_SPEC,Shared physical-visit missingness Bernoulli(0.005); Shared impedance-session missingness Bernoulli(0.018)
23120,Arm fat mass (right),kg,whole_fat × (0.045+g−0.5s); share symbols defined in MODEL_SPEC,Shared physical-visit missingness Bernoulli(0.005); Shared impedance-session missingness Bernoulli(0.018)
23121,Arm fat-free mass (right),kg,whole_lean × (0.060+r−s); share symbols defined in MODEL_SPEC,Shared physical-visit missingness Bernoulli(0.005); Shared impedance-session missingness Bernoulli(0.018)
23125,Arm fat-free mass (left),kg,whole_lean × (0.060+r+s); share symbols defined in MODEL_SPEC,Shared physical-visit missingness Bernoulli(0.005); Shared impedance-session missingness Bernoulli(0.018)
23126,Arm predicted mass (left),kg,0.96 segment_lean; assumed muscle-like predicted mass excludes4% other lean tissue,Shared physical-visit missingness Bernoulli(0.005); Shared impedance-session missingness Bernoulli(0.018)
23122,Arm predicted mass (right),kg,0.96 segment_lean; assumed muscle-like predicted mass excludes4% other lean tissue,Shared physical-visit missingness Bernoulli(0.005); Shared impedance-session missingness Bernoulli(0.018)
23127,Trunk fat percentage,%,100 segment_fat/(segment_fat+segment_lean),Shared physical-visit missingness Bernoulli(0.005); Shared impedance-session missingness Bernoulli(0.018)
23128,Trunk fat mass,kg,whole_fat × (0.50+0.010 tanh(Z)); share symbols defined in MODEL_SPEC,Shared physical-visit missingness Bernoulli(0.005); Shared impedance-session missingness Bernoulli(0.018)
23129,Trunk fat-free mass,kg,whole_lean × (0.46+0.008 tanh(Z)); share symbols defined in MODEL_SPEC,Shared physical-visit missingness Bernoulli(0.005); Shared impedance-session missingness Bernoulli(0.018)
23130,Trunk predicted mass,kg,0.96 segment_lean; assumed muscle-like predicted mass excludes4% other lean tissue,Shared physical-visit missingness Bernoulli(0.005); Shared impedance-session missingness Bernoulli(0.018)
23105,Basal metabolic rate,kJ/day,"4.184(370+21.6 lean), assumed energy scaling in kJ/day",Shared physical-visit missingness Bernoulli(0.005); Shared impedance-session missingness Bernoulli(0.018)
23099,Body fat percentage,%,"100 p; p=clip(0.20+0.012(BMI−23)+0.105(1−sex)+0.018 a+0.025 Z,max(0.09,5.1/weight,1−87.5/weight),min(0.49,1−36/weight))",Shared physical-visit missingness Bernoulli(0.005); Shared impedance-session missingness Bernoulli(0.018)
23100,Whole body fat mass,kg,weight × p,Shared physical-visit missingness Bernoulli(0.005); Shared impedance-session missingness Bernoulli(0.018)
23101,Whole body fat-free mass,kg,weight × (1−p); weight=fat+lean,Shared physical-visit missingness Bernoulli(0.005); Shared impedance-session missingness Bernoulli(0.018)
23102,Whole body water mass,kg,"lean × clip(0.732+0.008 hydration,0.71,0.75)",Shared physical-visit missingness Bernoulli(0.005); Shared impedance-session missingness Bernoulli(0.018)
23106,Impedance of whole body,ohm,"clip(0.8 height²/whole_water × conductivity,314,973); conductivity=exp(0.04 Z)",Shared physical-visit missingness Bernoulli(0.005); Shared impedance-session missingness Bernoulli(0.018)
23110,Impedance of arm (left),ohm,"clip(0.032 height²/(segment_lean × 0.732) × conductivity × exp(0.025 Z),dictionary bounds)",Shared physical-visit missingness Bernoulli(0.005); Shared impedance-session missingness Bernoulli(0.018)
23109,Impedance of arm (right),ohm,"clip(0.032 height²/(segment_lean × 0.732) × conductivity × exp(0.025 Z),dictionary bounds)",Shared physical-visit missingness Bernoulli(0.005); Shared impedance-session missingness Bernoulli(0.018)
23108,Impedance of leg (left),ohm,"clip(0.07 height²/(segment_lean × 0.732) × conductivity × exp(0.025 Z),dictionary bounds)",Shared physical-visit missingness Bernoulli(0.005); Shared impedance-session missingness Bernoulli(0.018)
23107,Impedance of leg (right),ohm,"clip(0.07 height²/(segment_lean × 0.732) × conductivity × exp(0.025 Z),dictionary bounds)",Shared physical-visit missingness Bernoulli(0.005); Shared impedance-session missingness Bernoulli(0.018)
3062,Forced vital capacity (FVC),L,"clip(3.6+0.055(height−165)+0.3 sex−0.035(age−55)+0.12 activity−0.006 pack_years+0.3 Z,1.5,6.4)",Shared physical-visit missingness Bernoulli(0.005); Independent physical-item missingness Bernoulli(0.006)
3063,Forced expiratory volume in 1-second (FEV1),L,"FVC × clip(0.80−0.0015(age−55)−0.0007 pack_years+0.035 Z,0.55,0.94)",Shared physical-visit missingness Bernoulli(0.005); Independent physical-item missingness Bernoulli(0.006)
20258,FEV1/ FVC ratio Z-score,z-score,"clip([FEV1/FVC−(0.80−0.0015(age−55))]/0.065,−3.687,4.931); synthetic reference Z",Shared physical-visit missingness Bernoulli(0.005); Independent physical-item missingness Bernoulli(0.006)
3064,Peak expiratory flow (PEF),L/min,"clip(100 FVC × (ratio/0.8) × exp(0.08 Z),100,850) L/min",Shared physical-visit missingness Bernoulli(0.005); Independent physical-item missingness Bernoulli(0.006)
20022,Birth weight,kg,"clip(3.35+0.12 sex−0.7 multiple_birth−0.22 maternal_smoking+0.45 Z,1.2,5.5)",Shared physical-visit missingness Bernoulli(0.005); Independent physical-item missingness Bernoulli(0.006)
2634,Duration of heavy DIY,category code,"O(0.6[0.65 activity+0.20(1−employed)+-0.6+0.5 Z];1,…,7), increasing duration assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
2624,Frequency of heavy DIY in last 4 weeks,category code,"O(0.65 activity+0.20(1−employed)+-0.6+0.5 Z;1,…,6), increasing frequency assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1021,Duration of light DIY,category code,"O(0.6[0.65 activity+0.20(1−employed)+0.1+0.5 Z];1,…,7), increasing duration assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1011,Frequency of light DIY in last 4 weeks,category code,"O(0.65 activity+0.20(1−employed)+0.1+0.5 Z;1,…,6), increasing frequency assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
894,Duration of moderate activity,minutes/day,"0 if corresponding days=0; otherwise clip(35 exp(0.2 activity+0.45 Z),10,180)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
3647,Duration of other exercises,category code,"O(0.6[0.65 activity+0.20(1−employed)+-0.1+0.5 Z];1,…,7), increasing duration assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
3637,Frequency of other exercises in last 4 weeks,category code,"O(0.65 activity+0.20(1−employed)+-0.1+0.5 Z;1,…,6), increasing frequency assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
914,Duration of vigorous activity,minutes/day,"0 if corresponding days=0; otherwise clip(25 exp(0.25 activity+0.45 Z),10,180)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
874,Duration of walks,minutes/day,"0 if corresponding days=0; otherwise clip(45 exp(0.2 activity+0.45 Z),10,180)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
981,Duration walking for pleasure,category code,"O(0.6[0.65 activity+0.20(1−employed)+0.5+0.5 Z];1,…,7), increasing duration assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
971,Frequency of walking for pleasure in last 4 weeks,category code,"O(0.65 activity+0.20(1−employed)+0.5+0.5 Z;1,…,6), increasing frequency assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
943,Frequency of stair climbing in last 4 weeks,category code,"O(0.6 activity−0.2 a;0,…,5), increasing stair use assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
884,Number of days/week of moderate physical activity 10+ minutes,days/week,"clip(round(3+1.25 activity+Z),0,7)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
904,Number of days/week of vigorous physical activity 10+ minutes,days/week,"clip(round(1.8+1.2 activity−0.25 a+Z),0,7)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
864,Number of days/week walked 10+ minutes,days/week,"clip(round(5+activity+Z),0,7)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1090,Time spent driving,hours/day,"clip(round(commute/25 × employed+0.35 σ(drive)),0,4)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1080,Time spent using computer,hours/day,"clip(round(2+0.8 digital+0.3 employed+0.7 Z),0,6)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1070,Time spent watching television (TV),hours/day,"clip(round(2.5+0.4 a−0.5 activity+0.7 Z),0,6); capped at24−sleep−driving−computer hours",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
924,Usual walking pace,category code,"O(0.8 activity−0.25 a−0.15 adip;1,2,3), assumed slow/steady/brisk",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1120,Weekly usage of mobile phone in last 3 months,category code,"O(digital;0,…,5), increasing use assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1130,Hands-free device/speakerphone use with mobile phone in last 3 month,category code,"O(0.5 digital+0.3 driving;0,…,4), increasing use assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
2237,Plays computer games,category code,"O(0.8 digital+0.15 sex−0.6;0,1,2), increasing engagement assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1160,Sleep duration,hours/day,"clip(round(7.2+0.5 sleep_quality−0.15 employed+0.7 Z),4,10)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1170,Getting up in morning,category code,"O(chronotype−0.5 sleep_quality;1,…,4), increasing waking difficulty assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1180,Morning/evening person (chronotype),category code,"O(chronotype;1,…,4), morning-to-evening assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1190,Nap during day,category code,"O(0.35 a−0.5 sleep_quality−0.6;1,2,3), increasing frequency assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1200,Sleeplessness / insomnia,category code,"O(−0.8 sleep_quality−0.3;1,2,3), increasing frequency assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1210,Snoring,category code,"1 with probability σ(−0.5+0.65 adip+0.5 sex), otherwise2; assumed yes/no",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1220,Daytime dozing / sleeping,category code,"O(−0.6 sleep_quality+0.2 adip−0.8;0,…,3), increasing frequency assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
20116,Smoking status,category code,"2 current+former; assumed 0=never,1=former,2=current; probabilities in MODEL_SPEC",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1239,Current tobacco smoking,category code,0 if noncurrent; 1 if current intensity≥5 cigarettes/day; 2 otherwise (assumed coding),Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1249,Past tobacco smoking,category code,"assumed 4=never,1=regular past use,2=occasional past use; code 3 unused",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
20161,Pack years of smoking,pack-years,(current+former) × smoking_duration × cigarettes_per_day / 20,Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1259,Smoking/smokers in household,category code,"min(2,other_smoker+current); other_smoker∼Bernoulli(σ(−2+0.9 current+0.2(household−1))); exposure rank assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1269,Exposure to tobacco smoke at home,hours/week,"clip((other_smoker+current) exp(1.5+0.5 Z),0,70)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1279,Exposure to tobacco smoke outside home,hours/week,"clip(exp(0.5+0.4 current−0.25 access+0.7 Z) Bernoulli(0.55),0,60)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1289,Cooked vegetable intake,tablespoons/day,"clip(3 exp(0.35 diet+0.15 appetite+0.45 Z),0,15)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1299,Salad / raw vegetable intake,tablespoons/day,"clip(2 exp(0.40 diet+0.10 appetite+0.45 Z),0,15)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1309,Fresh fruit intake,pieces/day,"round of clip(2 exp(0.30 diet+0.45 Z),0,10)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1319,Dried fruit intake,pieces/day,"round of clip(1 exp(0.25 diet+0.45 Z),0,15)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1438,Bread intake,slices/week,"clip(12 exp(0.25 appetite−0.10 diet+0.45 Z),0,45)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1458,Cereal intake,bowls/week,"round of clip(5 exp(0.20 diet+0.15 appetite+0.45 Z),0,20)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1488,Tea intake,cups/day,"clip(3 exp(0.15 a−0.10 digital+0.45 Z),0,12)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1498,Coffee intake,cups/day,"round of clip(2 exp(0.2 digital+0.15 drive+0.45 Z),0,10)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1528,Water intake,glasses/day,"round of clip(5 exp(0.15 activity+0.12 diet+0.45 Z),0,15)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1518,Hot drink temperature,category code,"O(0.15 drive;1,2,3), increasing temperature assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1329,Oily fish intake,category code,"O(0.5 diet−0.4;0,…,5), increasing frequency assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1339,Non-oily fish intake,category code,"O(0.3 diet−0.2;0,…,5), increasing frequency assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1349,Processed meat intake,category code,"O(−0.4 diet+0.25 appetite−0.3;0,…,5), increasing frequency assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1359,Poultry intake,category code,"O(0.15 diet+0.25 appetite;0,…,5), increasing frequency assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1369,Beef intake,category code,"O(−0.2 diet+0.3 appetite−0.4;0,…,5), increasing frequency assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1379,Lamb/mutton intake,category code,"O(−0.2 diet+0.2 appetite−0.8;0,…,5), increasing frequency assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1389,Pork intake,category code,"O(−0.25 diet+0.3 appetite−0.5;0,…,5), increasing frequency assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1408,Cheese intake,category code,"O(0.15 appetite;0,…,5), increasing frequency assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1478,Salt added to food,category code,"O(−0.3 diet+0.2 appetite−0.3;1,…,4), increasing addition assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
6144,"Never eat eggs, dairy, wheat, sugar",category code,"with probability σ(−2.1+0.3 diet), equal nominal probabilities for assumed 1=eggs,2=dairy,3=wheat,4=sugar; otherwise assumed5=none; single-code representation",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
20117,Alcohol drinker status,category code,"2 alcohol_current+alcohol_former; current∼Bernoulli(σ(1.5+0.2 access+0.3 drive)); former|noncurrent∼Bernoulli(0.35); assumed0=never,1=former,2=current",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1558,Alcohol intake frequency.,category code,"assumed codes6,5,4,3,2,1 correspond to none,special,monthly,weekly,several/week,daily; amount boundaries0,1,3,8,18 assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1568,Average weekly red wine intake,glasses/week,"alcohol_amount × softmax(beverage scores)[1]; scores defined in MODEL_SPEC; native beverage servings, not ethanol equivalents",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1578,Average weekly champagne plus white wine intake,glasses/week,"alcohol_amount × softmax(beverage scores)[2]; scores defined in MODEL_SPEC; native beverage servings, not ethanol equivalents",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1588,Average weekly beer plus cider intake,pints/week,"alcohol_amount × softmax(beverage scores)[3]; scores defined in MODEL_SPEC; native beverage servings, not ethanol equivalents",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1598,Average weekly spirits intake,measures/week,"alcohol_amount × softmax(beverage scores)[4]; scores defined in MODEL_SPEC; native beverage servings, not ethanol equivalents",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1608,Average weekly fortified wine intake,glasses/week,"round of alcohol_amount × softmax(beverage scores)[5]; scores defined in MODEL_SPEC; native beverage servings, not ethanol equivalents",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1618,Alcohol usually taken with meals,category code,"alcohol_current × Bernoulli(σ(0.2+0.4 diet+0.3 access)); assumed0=no,1=yes",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1050,Time spend outdoors in summer,hours/day,"clip(round(3+0.6 activity+0.5(1−employed)+0.7 Z),0,8)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1060,Time spent outdoors in winter,hours/day,"min(summer,clip(round(1.5+0.4 activity+0.4(1−employed)+0.5 Z),0,6))",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1717,Skin colour,category code,"O(pigment−0.7;1,…,6), increasing pigmentation assumed; no ancestry inferred",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1727,Ease of skin tanning,category code,"O(0.75 pigment;1,…,4), increasing tanning response assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1737,Childhood sunburn occasions,occasions,"clip(round(exp(1.2−0.4 pigment+0.15 summer+0.5 Z)),0,60)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1747,"Hair colour (natural, before greying)",category code,"hair_score=0.8 pigment+0.65 Z; boundaries−0.9,−0.15,0.8 give assumed blond/light brown/dark brown/black codes1..4; code5 red with probability0.06 σ(−pigment);6 unused",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1757,Facial ageing,category code,"O(0.2 a+0.18 summer+0.2 current−0.4;1,2,3), younger-to-older appearance assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
2267,Use of sun/uv protection,category code,"O(0.3 diet−0.5 pigment+0.15 summer;1,…,5), increasing protection assumed",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
2277,Frequency of solarium/sunlamp use,occasions,"Bernoulli(σ(−2.8+0.3 drive)) × clip(round(exp(1.6+0.6 Z)),1,60)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
2139,Age first had sexual intercourse,years,"clip(19+0.7 access−0.8 drive+2 Z,14,age−1)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access); Additional sensitive-item nonresponse Bernoulli(0.08)
2149,Lifetime number of sexual partners,partners,"clip(round(exp(1.3+0.55 drive+0.1 a+0.65 Z)),1,150)",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access); Additional sensitive-item nonresponse Bernoulli(0.08)
2159,Ever had same-sex intercourse,binary code,"Bernoulli(0.07), independent nominal self-report assumption",Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access); Additional sensitive-item nonresponse Bernoulli(0.08)
1677,Breastfed as a baby,binary code,Bernoulli(σ(0.7+0.15 access+0.2 a−0.3 maternal_smoking)),Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1777,Part of a multiple birth,binary code,Bernoulli(0.025),Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
