phenotype,field_id,description,unit,relationship,direct_process_coefficients,shared_liability_coefficients,background_traits,rule
I9_HYPTENSESS,23116,Leg fat mass (left),kg,indirect,none,age=0.65; bmi=0.65,age bmi male female,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,23112,Leg fat mass (right),kg,indirect,none,age=0.65; bmi=0.65,age bmi male female,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,23124,Arm fat mass (left),kg,indirect,none,age=0.65; bmi=0.65,age bmi male female,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,23120,Arm fat mass (right),kg,indirect,none,age=0.65; bmi=0.65,age bmi male female,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,23128,Trunk fat mass,kg,indirect,none,age=0.65; bmi=0.65,age bmi male female,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,23099,Body fat percentage,%,indirect,none,age=0.65; bmi=0.65,age bmi male female,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,23100,Whole body fat mass,kg,indirect,none,age=0.65; bmi=0.65,age bmi male female,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,23101,Whole body fat-free mass,kg,indirect,none,age=0.65; bmi=0.65,age bmi male female,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,23102,Whole body water mass,kg,direct,effect:gfr=-3,age=0.65; bmi=0.65; renal=0.2,age bmi male female renal,"Active burden and/or recognized management enters the stated process, whose physiological equation generates this measurement. Exported reported target never enters the equation. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,874,Duration of walks,minutes/day,indirect,none,age=0.65; bmi=0.65,age bmi,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,864,Number of days/week walked 10+ minutes,days/week,indirect,none,age=0.65; bmi=0.65,age bmi,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,20116,Smoking status,category code,direct,recognized-diagnosis cessation hazard=0.035,age=0.65,age smoke male female,"Active burden and/or recognized management enters the stated process, whose physiological equation generates this measurement. Exported reported target never enters the equation. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,1239,Current tobacco smoking,category code,direct,recognized-diagnosis cessation hazard=0.035,age=0.65,age smoke male female,"Active burden and/or recognized management enters the stated process, whose physiological equation generates this measurement. Exported reported target never enters the equation. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,20117,Alcohol drinker status,category code,direct,recognized-diagnosis drinking cessation hazard=0.045,age=0.65,age male female,"Active burden and/or recognized management enters the stated process, whose physiological equation generates this measurement. Exported reported target never enters the equation. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,30030,Haematocrit percentage,%,direct,effect:gfr=-3,age=0.65; renal=0.2,age renal male female menopause,"Active burden and/or recognized management enters the stated process, whose physiological equation generates this measurement. Exported reported target never enters the equation. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. Recognition-mediated current smoking/alcohol changes can also propagate through the fixed measurement equations; this is an indirect pathway, not a target-conditioned shift. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,30020,Haemoglobin concentration,g/dL,direct,effect:gfr=-3,age=0.65; renal=0.2,age renal male female menopause,"Active burden and/or recognized management enters the stated process, whose physiological equation generates this measurement. Exported reported target never enters the equation. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. Recognition-mediated current smoking/alcohol changes can also propagate through the fixed measurement equations; this is an indirect pathway, not a target-conditioned shift. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,30050,Mean corpuscular haemoglobin,pg,neutral,none,none explicitly shared,male female menopause,"No disease-specific cellular-index coefficient is assigned. Conditional neutrality is after sex, iron status, alcohol and shared background; marginal associations remain possible. Recognition-mediated current smoking/alcohol changes can also propagate through the fixed measurement equations; this is an indirect pathway, not a target-conditioned shift. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,30060,Mean corpuscular haemoglobin concentration,g/dL,neutral,none,none explicitly shared,male female menopause,"No disease-specific cellular-index coefficient is assigned. Conditional neutrality is after sex, iron status, alcohol and shared background; marginal associations remain possible. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,30040,Mean corpuscular volume,fL,indirect,none,none explicitly shared,male female,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Recognition-mediated current smoking/alcohol changes can also propagate through the fixed measurement equations; this is an indirect pathway, not a target-conditioned shift. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,30080,Platelet count,10^9 cells/L,indirect,none,age=0.65; bmi=0.65,age male female menopause bmi smoke,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. Recognition-mediated current smoking/alcohol changes can also propagate through the fixed measurement equations; this is an indirect pathway, not a target-conditioned shift. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,30010,Red blood cell (erythrocyte) count,10^12 cells/L,direct,effect:gfr=-3,age=0.65; renal=0.2,age renal male female menopause,"Active burden and/or recognized management enters the stated process, whose physiological equation generates this measurement. Exported reported target never enters the equation. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,30000,White blood cell (leukocyte) count,10^9 cells/L,indirect,none,bmi=0.65,bmi smoke,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. Recognition-mediated current smoking/alcohol changes can also propagate through the fixed measurement equations; this is an indirect pathway, not a target-conditioned shift. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,30620,Alanine aminotransferase,U/L,indirect,none,bmi=0.65,bmi male female smoke,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. Recognition-mediated current smoking/alcohol changes can also propagate through the fixed measurement equations; this is an indirect pathway, not a target-conditioned shift. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,30650,Aspartate aminotransferase,U/L,indirect,none,bmi=0.65,bmi male female smoke,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. Recognition-mediated current smoking/alcohol changes can also propagate through the fixed measurement equations; this is an indirect pathway, not a target-conditioned shift. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,30710,C-reactive protein,mg/L,indirect,none,age=0.65; bmi=0.65,age bmi smoke,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. Recognition-mediated current smoking/alcohol changes can also propagate through the fixed measurement equations; this is an indirect pathway, not a target-conditioned shift. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,30690,Cholesterol,mmol/L,indirect,none,age=0.65; bmi=0.65,age bmi lipid insulin male female,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. Recognition-mediated current smoking/alcohol changes can also propagate through the fixed measurement equations; this is an indirect pathway, not a target-conditioned shift. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,30700,Creatinine,umol/L,direct,effect:gfr=-3,age=0.65; bmi=0.65; renal=0.2,age renal bmi male female,"Active burden and/or recognized management enters the stated process, whose physiological equation generates this measurement. Exported reported target never enters the equation. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,30740,Glucose,mmol/L,indirect,none,age=0.65; bmi=0.65,age bmi insulin,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,30750,Glycated haemoglobin (HbA1c),mmol/mol,direct,effect:gfr=-3,age=0.65; bmi=0.65; renal=0.2,age bmi insulin renal male female menopause,"Active burden and/or recognized management enters the stated process, whose physiological equation generates this measurement. Exported reported target never enters the equation. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,30760,HDL cholesterol,mmol/L,indirect,none,bmi=0.65,bmi male female,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. Recognition-mediated current smoking/alcohol changes can also propagate through the fixed measurement equations; this is an indirect pathway, not a target-conditioned shift. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,30780,LDL direct,mmol/L,indirect,none,age=0.65; bmi=0.65,age bmi lipid,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,30870,Triglycerides,mmol/L,indirect,none,bmi=0.65,bmi insulin lipid male female,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. Recognition-mediated current smoking/alcohol changes can also propagate through the fixed measurement equations; this is an indirect pathway, not a target-conditioned shift. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,30880,Urate,umol/L,direct,effect:gfr=-3; management:urate=8,age=0.65; bmi=0.65; renal=0.2,age renal bmi male female,"Active burden and/or recognized management enters the stated process, whose physiological equation generates this measurement. Exported reported target never enters the equation. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. Recognition-mediated current smoking/alcohol changes can also propagate through the fixed measurement equations; this is an indirect pathway, not a target-conditioned shift. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
I9_HYPTENSESS,30670,Urea,mmol/L,direct,effect:gfr=-3,age=0.65; renal=0.2,age renal male female,"Active burden and/or recognized management enters the stated process, whose physiological equation generates this measurement. Exported reported target never enters the equation. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
E4_HYPERCHOL,21022,Age at recruitment,years,indirect,none,age=0.32,age,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
E4_HYPERCHOL,31,Gender,binary code,indirect,none,none explicitly shared,male female menopause,No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used.
E4_HYPERCHOL,709,Number in household,persons,indirect,none,age=0.32,age,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
E4_HYPERCHOL,4079,"Diastolic blood pressure, automated reading",mmHg,indirect,none,age=0.32; bmi=0.48,age bmi vascular,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
E4_HYPERCHOL,4080,"Systolic blood pressure, automated reading",mmHg,indirect,none,age=0.32; bmi=0.48,age bmi vascular,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
E4_HYPERCHOL,102,"Pulse rate, automated reading",bpm,indirect,none,age=0.32; bmi=0.48,age bmi smoke,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. Recognition-mediated current smoking/alcohol changes can also propagate through the fixed measurement equations; this is an indirect pathway, not a target-conditioned shift. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
E4_HYPERCHOL,48,Waist circumference,cm,indirect,none,age=0.32; bmi=0.48,age bmi male female,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
E4_HYPERCHOL,21002,Weight,kg,indirect,none,age=0.32; bmi=0.48,age bmi male female,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
E4_HYPERCHOL,21001,Body mass index (BMI),kg/m^2,indirect,none,age=0.32; bmi=0.48,age bmi male female,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
E4_HYPERCHOL,50,Standing height,cm,indirect,none,age=0.32,age male female,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
E4_HYPERCHOL,23116,Leg fat mass (left),kg,indirect,none,age=0.32; bmi=0.48,age bmi male female,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
E4_HYPERCHOL,23112,Leg fat mass (right),kg,indirect,none,age=0.32; bmi=0.48,age bmi male female,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
E4_HYPERCHOL,23124,Arm fat mass (left),kg,indirect,none,age=0.32; bmi=0.48,age bmi male female,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
E4_HYPERCHOL,23120,Arm fat mass (right),kg,indirect,none,age=0.32; bmi=0.48,age bmi male female,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
E4_HYPERCHOL,23128,Trunk fat mass,kg,indirect,none,age=0.32; bmi=0.48,age bmi male female,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
E4_HYPERCHOL,23099,Body fat percentage,%,indirect,none,age=0.32; bmi=0.48,age bmi male female,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
E4_HYPERCHOL,23100,Whole body fat mass,kg,indirect,none,age=0.32; bmi=0.48,age bmi male female,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
E4_HYPERCHOL,23101,Whole body fat-free mass,kg,indirect,none,age=0.32; bmi=0.48,age bmi male female,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
E4_HYPERCHOL,23102,Whole body water mass,kg,indirect,none,age=0.32; bmi=0.48,age bmi male female renal,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
E4_HYPERCHOL,874,Duration of walks,minutes/day,indirect,none,age=0.32; bmi=0.48,age bmi,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
E4_HYPERCHOL,864,Number of days/week walked 10+ minutes,days/week,indirect,none,age=0.32; bmi=0.48,age bmi,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
E4_HYPERCHOL,20116,Smoking status,category code,direct,recognized-diagnosis cessation hazard=0.035,age=0.32,age smoke male female,"Active burden and/or recognized management enters the stated process, whose physiological equation generates this measurement. Exported reported target never enters the equation. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
E4_HYPERCHOL,1239,Current tobacco smoking,category code,direct,recognized-diagnosis cessation hazard=0.035,age=0.32,age smoke male female,"Active burden and/or recognized management enters the stated process, whose physiological equation generates this measurement. Exported reported target never enters the equation. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
E4_HYPERCHOL,20117,Alcohol drinker status,category code,direct,recognized-diagnosis drinking cessation hazard=0.045,age=0.32,age male female,"Active burden and/or recognized management enters the stated process, whose physiological equation generates this measurement. Exported reported target never enters the equation. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
E4_HYPERCHOL,30030,Haematocrit percentage,%,indirect,none,age=0.32,age renal male female menopause,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. Recognition-mediated current smoking/alcohol changes can also propagate through the fixed measurement equations; this is an indirect pathway, not a target-conditioned shift. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
E4_HYPERCHOL,30020,Haemoglobin concentration,g/dL,indirect,none,age=0.32,age renal male female menopause,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. Recognition-mediated current smoking/alcohol changes can also propagate through the fixed measurement equations; this is an indirect pathway, not a target-conditioned shift. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
E4_HYPERCHOL,30050,Mean corpuscular haemoglobin,pg,neutral,none,none explicitly shared,male female menopause,"No disease-specific cellular-index coefficient is assigned. Conditional neutrality is after sex, iron status, alcohol and shared background; marginal associations remain possible. Recognition-mediated current smoking/alcohol changes can also propagate through the fixed measurement equations; this is an indirect pathway, not a target-conditioned shift. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
E4_HYPERCHOL,30060,Mean corpuscular haemoglobin concentration,g/dL,neutral,none,none explicitly shared,male female menopause,"No disease-specific cellular-index coefficient is assigned. Conditional neutrality is after sex, iron status, alcohol and shared background; marginal associations remain possible. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
E4_HYPERCHOL,30040,Mean corpuscular volume,fL,indirect,none,none explicitly shared,male female,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Recognition-mediated current smoking/alcohol changes can also propagate through the fixed measurement equations; this is an indirect pathway, not a target-conditioned shift. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
E4_HYPERCHOL,30080,Platelet count,10^9 cells/L,indirect,none,age=0.32; bmi=0.48,age male female menopause bmi smoke,"No direct disease coefficient on this measurement; dependence is through shared demographic/susceptibility traits and the documented correlated background. Disease liability shares listed prediagnosis traits; coefficients shown are liability coefficients, not measured-feature shifts. Recognition-mediated current smoking/alcohol changes can also propagate through the fixed measurement equations; this is an indirect pathway, not a target-conditioned shift. All numerical values are authored construction choices; no empirical coefficient or prediction feedback was used."
