Field_ID,Category,Detail_Category,Description,Participants_N,Notes,Variable_Type,Observed_Min,Observed_P01,Observed_Median,Observed_P99,Observed_Max,Observed_Integer_Only,Observed_Allowed_Values,Unit,Unit_Source,Recommended_Data_Type,Recommended_Hard_Min,Recommended_Hard_Max,Recommended_Allowed_Values,Recommended_Missing_Rate,Observed_Decimal_Places_P95,Recommended_Decimal_Places,Suggested_Marginal_Distribution,Generation_Constraint
4080,Physical measures,Blood pressure,"Systolic blood pressure, automated reading","472,041",,continuous,80,102.125,136.5,188.5,225.5,FALSE,,mmHg,schema Prompts,continuous_numeric,80,225.5,,0.0574,1,1,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [80, 225.5]; central 98% [102.125, 188.5]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
102,Physical measures,Blood pressure,"Pulse rate, automated reading","472,046",,continuous,35,47,68.5,100.5,128.5,FALSE,,bpm,schema Prompts,continuous_numeric,35,128.5,,0.0574,1,1,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [35, 128.5]; central 98% [47, 100.5]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
46,Physical measures,Hand grip strength,Hand grip strength (left),"498,739",,continuous,0,8,28,57.71,80,TRUE,,kg,schema Prompts,continuous_numeric,0,80,,0.007,0,0,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [0, 80]; central 98% [8, 57.71]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
47,Physical measures,Hand grip strength,Hand grip strength (right),"498,806",,continuous,0,10,30,59,72,TRUE,,kg,schema Prompts,continuous_numeric,0,72,,0.0069,0,0,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [0, 72]; central 98% [10, 59]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
48,Physical measures,Body size measures,Waist circumference,"499,989",,continuous,56,65,90,125,157,FALSE,,cm,schema Prompts,continuous_numeric,56,157,,0.005,0,0,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [56, 157]; central 98% [65, 125]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
21002,Physical measures,Body size measures,Weight,"499,375",,continuous,35.4,49.434,76.4,122.832,181.7,FALSE,,kg,schema Prompts,continuous_numeric,35.4,181.7,,0.0065,1,1,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [35.4, 181.7]; central 98% [49.434, 122.832]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
21001,Physical measures,Body size measures,Body mass index (BMI),"499,045",,continuous,14.8744,19.138653,26.713,42.0894,58.5937,FALSE,,kg/m^2,schema Prompts,continuous_numeric,14.8744,58.5937,,0.0072,4,4,bounded right-skewed empirical/log-normal/gamma,"Numeric values; sample envelope [14.8744, 58.5937]; central 98% [19.1387, 42.0894]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
49,Physical measures,Body size measures,Hip circumference,"499,930",,continuous,72,86,102,133,174,FALSE,,cm,schema Prompts,continuous_numeric,72,174,,0.0049,0,0,bounded right-skewed empirical/log-normal/gamma,"Numeric values; sample envelope [72, 174]; central 98% [86, 133]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
50,Physical measures,Body size measures,Standing height,"499,611",,continuous,138,150,168,190,201,FALSE,,cm,schema Prompts,continuous_numeric,138,201,,0.0056,0,0,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [138, 201]; central 98% [150, 190]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
20015,Physical measures,Body size measures,Sitting height,"495,876",,continuous,63,78,89,100,117,FALSE,,cm,schema Prompts,continuous_numeric,63,117,,0.0129,0,0,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [63, 117]; central 98% [78, 100]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
23115,Physical measures,Body composition by impedance,Leg fat percentage (left),"491,959",,continuous,6.4,12.6,33.3,51.2,60.8,FALSE,,%,schema Prompts,continuous_numeric,6.4,60.8,,0.0218,1,1,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [6.4, 60.8]; central 98% [12.6, 51.2]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
23111,Physical measures,Body composition by impedance,Leg fat percentage (right),"491,991",,continuous,5.6,12,33.4,51.4,59.1,FALSE,,%,schema Prompts,continuous_numeric,5.6,59.1,,0.0218,1,1,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [5.6, 59.1]; central 98% [12, 51.4]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
23116,Physical measures,Body composition by impedance,Leg fat mass (left),"491,954",,continuous,0.5,1.3,4,9.919,17.1,FALSE,,kg,schema Prompts,continuous_numeric,0.5,17.1,,0.0218,1,1,bounded right-skewed empirical/log-normal/gamma,"Numeric values; sample envelope [0.5, 17.1]; central 98% [1.3, 9.919]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
23112,Physical measures,Body composition by impedance,Leg fat mass (right),"491,982",,continuous,0.4,1.3,4,10.1,16.9,FALSE,,kg,schema Prompts,continuous_numeric,0.4,16.9,,0.0218,1,1,bounded right-skewed empirical/log-normal/gamma,"Numeric values; sample envelope [0.4, 16.9]; central 98% [1.3, 10.1]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
23117,Physical measures,Body composition by impedance,Leg fat-free mass (left),"491,935",,continuous,4.4,5.9,8.5,14.1,21.5,FALSE,,kg,schema Prompts,continuous_numeric,4.4,21.5,,0.0218,1,1,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [4.4, 21.5]; central 98% [5.9, 14.1]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
23113,Physical measures,Body composition by impedance,Leg fat-free mass (right),"491,970",,continuous,4.4,5.9,8.6,14.2,21.3,FALSE,,kg,schema Prompts,continuous_numeric,4.4,21.3,,0.0218,1,1,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [4.4, 21.3]; central 98% [5.9, 14.2]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
23118,Physical measures,Body composition by impedance,Leg predicted mass (left),"491,929",,continuous,4.2,5.5,8,13.3,20.3,FALSE,,kg,schema Prompts,continuous_numeric,4.2,20.3,,0.0218,1,1,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [4.2, 20.3]; central 98% [5.5, 13.3]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
23114,Physical measures,Body composition by impedance,Leg predicted mass (right),"491,969",,continuous,4.1,5.6,8.1,13.5,20.1,FALSE,,kg,schema Prompts,continuous_numeric,4.1,20.1,,0.0218,1,1,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [4.1, 20.1]; central 98% [5.6, 13.5]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
23123,Physical measures,Body composition by impedance,Arm fat percentage (left),"491,848",,continuous,3,12.8,29,55.9,68.3,FALSE,,%,schema Prompts,continuous_numeric,3,68.3,,0.0219,1,1,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [3, 68.3]; central 98% [12.8, 55.9]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
23119,Physical measures,Body composition by impedance,Arm fat percentage (right),"491,917",,continuous,2,12.7,27.8,55.2,69.2,FALSE,,%,schema Prompts,continuous_numeric,2,69.2,,0.0218,1,1,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [2, 69.2]; central 98% [12.7, 55.2]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
23124,Physical measures,Body composition by impedance,Arm fat mass (left),"491,806",,continuous,0.1,0.4,1.2,3.9,10.4,FALSE,,kg,schema Prompts,continuous_numeric,0.1,10.4,,0.0219,1,1,bounded right-skewed empirical/log-normal/gamma,"Numeric values; sample envelope [0.1, 10.4]; central 98% [0.4, 3.9]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
23120,Physical measures,Body composition by impedance,Arm fat mass (right),"491,883",,continuous,0.1,0.4,1.1,3.6,8.6,FALSE,,kg,schema Prompts,continuous_numeric,0.1,8.6,,0.0218,1,1,bounded right-skewed empirical/log-normal/gamma,"Numeric values; sample envelope [0.1, 8.6]; central 98% [0.4, 3.6]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
23121,Physical measures,Body composition by impedance,Arm fat-free mass (right),"491,879",,continuous,1,1.7,2.6,5,6.8,FALSE,,kg,schema Prompts,continuous_numeric,1,6.8,,0.0219,1,1,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [1, 6.8]; central 98% [1.7, 5]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
23125,Physical measures,Body composition by impedance,Arm fat-free mass (left),"491,790",,continuous,1.3,1.7,2.7,5,6.4,FALSE,,kg,schema Prompts,continuous_numeric,1.3,6.4,,0.0221,1,1,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [1.3, 6.4]; central 98% [1.7, 5]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
23126,Physical measures,Body composition by impedance,Arm predicted mass (left),"491,771",,continuous,1.2,1.6,2.5,4.7,6,FALSE,,kg,schema Prompts,continuous_numeric,1.2,6,,0.0222,1,1,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [1.2, 6]; central 98% [1.6, 4.7]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
23122,Physical measures,Body composition by impedance,Arm predicted mass (right),"491,871",,continuous,0.9,1.6,2.5,4.7,6.4,FALSE,,kg,schema Prompts,continuous_numeric,0.9,6.4,,0.0219,1,1,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [0.9, 6.4]; central 98% [1.6, 4.7]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
23127,Physical measures,Body composition by impedance,Trunk fat percentage,"491,728",,continuous,3,11.677,31.1,49.023,61.7,FALSE,,%,schema Prompts,continuous_numeric,3,61.7,,0.0222,1,1,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [3, 61.7]; central 98% [11.677, 49.023]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
23128,Physical measures,Body composition by impedance,Trunk fat mass,"491,701",,continuous,1,3.8,13.2,28.023,49.5,FALSE,,kg,schema Prompts,continuous_numeric,1,49.5,,0.0222,1,1,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [1, 49.5]; central 98% [3.8, 28.023]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
23129,Physical measures,Body composition by impedance,Trunk fat-free mass,"491,617",,continuous,16,20.3,28.1,43.9,52.3,FALSE,,kg,schema Prompts,continuous_numeric,16,52.3,,0.0225,1,1,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [16, 52.3]; central 98% [20.3, 43.9]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
23130,Physical measures,Body composition by impedance,Trunk predicted mass,"491,568",,continuous,15.4,19.4,26.9,42.2,50.3,FALSE,,kg,schema Prompts,continuous_numeric,15.4,50.3,,0.0225,1,1,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [15.4, 50.3]; central 98% [19.4, 42.2]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
23105,Physical measures,Body composition by impedance,Basal metabolic rate,"492,011",,continuous,3665,4556,6339,10217,13602,TRUE,,kJ/day,field meaning + schema prompt,continuous_numeric,3665,13602,,0.0218,0,0,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [3665, 13602]; central 98% [4556, 10217]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
23099,Physical measures,Body composition by impedance,Body fat percentage,"491,751",,continuous,5.4,13.1,31.1,50,59,FALSE,,%,schema Prompts,continuous_numeric,5.4,59,,0.022,1,1,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [5.4, 59]; central 98% [13.1, 50]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
23100,Physical measures,Body composition by impedance,Whole body fat mass,"491,186",,continuous,5.1,8.5,23.3,54.693,87.9,FALSE,,kg,semantic correction,continuous_numeric,5.1,87.9,,0.023,1,1,bounded right-skewed empirical/log-normal/gamma,"Numeric values; sample envelope [5.1, 87.9]; central 98% [8.5, 54.693]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
23101,Physical measures,Body composition by impedance,Whole body fat-free mass,"491,982",,continuous,28.6,35.8,50.3,81.3,97.5,FALSE,,kg,schema Prompts,continuous_numeric,28.6,97.5,,0.0218,1,1,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [28.6, 97.5]; central 98% [35.8, 81.3]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
23102,Physical measures,Body composition by impedance,Whole body water mass,"492,025",,continuous,20.9,26.2,36.9,59.6,73.6,FALSE,,kg,schema Prompts,continuous_numeric,20.9,73.6,,0.0217,1,1,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [20.9, 73.6]; central 98% [26.2, 59.6]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
23106,Physical measures,Body composition by impedance,Impedance of whole body,"491,971",,continuous,314,426,595,809,973,TRUE,,ohm,schema Prompts,continuous_numeric,314,973,,0.0218,0,0,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [314, 973]; central 98% [426, 809]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
23110,Physical measures,Body composition by impedance,Impedance of arm (left),"491,986",,continuous,174,229,329,468,703,TRUE,,ohm,schema Prompts,continuous_numeric,174,703,,0.0218,0,0,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [174, 703]; central 98% [229, 468]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
23109,Physical measures,Body composition by impedance,Impedance of arm (right),"491,962",,continuous,116,226,322,461,992,TRUE,,ohm,schema Prompts,continuous_numeric,116,992,,0.0218,0,0,bounded empirical quantile / transformed distribution,"Numeric values; sample envelope [116, 992]; central 98% [226, 461]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
23108,Physical measures,Body composition by impedance,Impedance of leg (left),"491,994",,continuous,102,167.81,247,335,469,TRUE,,ohm,schema Prompts,continuous_numeric,102,469,,0.0218,0,0,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [102, 469]; central 98% [167.81, 335]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
23107,Physical measures,Body composition by impedance,Impedance of leg (right),"492,000",,continuous,108,166.81,246,334,446,TRUE,,ohm,schema Prompts,continuous_numeric,108,446,,0.0218,0,0,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [108, 446]; central 98% [166.81, 334]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
3062,Physical measures,Spirometry,Forced vital capacity (FVC),"453,374",,continuous,0.133333333,1.524333333,3.47,6.146166667,17.00666667,FALSE,,L,schema Prompts,continuous_numeric,0.133333333,17.00666667,,0.0969,9,6,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [0.133333, 17.0067]; central 98% [1.52433, 6.14617]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
3063,Physical measures,Spirometry,Forced expiratory volume in 1-second (FEV1),"453,374",,continuous,0.123333333,1.063,2.65,4.694666667,6.17,FALSE,,L,schema Prompts,continuous_numeric,0.123333333,6.17,,0.0969,9,6,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [0.123333, 6.17]; central 98% [1.063, 4.69467]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
20258,Physical measures,Spirometry,FEV1/ FVC ratio Z-score,"379,132",,continuous z-score,-3.687,-1.44681,0.358,3.17411,4.931,FALSE,,z-score,schema Description/Prompts,continuous_z_score,-3.687,4.931,,0.2436,3,3,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [-3.687, 4.931]; central 98% [-1.44681, 3.17411]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
3064,Physical measures,Spirometry,Peak expiratory flow (PEF),"453,374",,continuous,9.333333333,92.43333333,357.3333333,706.45,1340.5,FALSE,,L/min,schema Prompts,continuous_numeric,9.333333333,1340.5,,0.0969,7,6,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [9.33333, 1340.5]; central 98% [92.4333, 706.45]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
20022,Physical measures,Early life factors,Birth weight,"276,786",,continuous,0.45,1.36,3.32,4.82,6.97,FALSE,,kg,schema Prompts,continuous_numeric,0.45,6.97,,0.4484,2,2,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [0.45, 6.97]; central 98% [1.36, 4.82]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
2634,Lifestyle,Physical activity,Duration of heavy DIY,"205,302",,categorical,1,1,3,7,7,TRUE,"[1, 2, 3, 4, 5, 6, 7]",category code,schema variable type + observed values,categorical_integer_code,1,7,"[1, 2, 3, 4, 5, 6, 7]",0.6208,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [1, 2, 3, 4, 5, 6, 7]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
2624,Lifestyle,Physical activity,Frequency of heavy DIY in last 4 weeks,"205,302",,categorical,1,1,2,6,6,TRUE,"[1, 2, 3, 4, 5, 6]",category code,schema variable type + observed values,categorical_integer_code,1,6,"[1, 2, 3, 4, 5, 6]",0.6215,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [1, 2, 3, 4, 5, 6]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1021,Lifestyle,Physical activity,Duration of light DIY,"248,386",,categorical,1,1,3,7,7,TRUE,"[1, 2, 3, 4, 5, 6, 7]",category code,schema variable type + observed values,categorical_integer_code,1,7,"[1, 2, 3, 4, 5, 6, 7]",0.5248,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [1, 2, 3, 4, 5, 6, 7]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1011,Lifestyle,Physical activity,Frequency of light DIY in last 4 weeks,"248,386",,categorical,1,1,3,6,6,TRUE,"[1, 2, 3, 4, 5, 6]",category code,schema variable type + observed values,categorical_integer_code,1,6,"[1, 2, 3, 4, 5, 6]",0.5217,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [1, 2, 3, 4, 5, 6]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
894,Lifestyle,Physical activity,Duration of moderate activity,"410,747",,continuous,0,7,40,360,950,TRUE,,minutes/day,schema Prompts,continuous_numeric,0,950,,0.2605,0,0,bounded right-skewed empirical/log-normal/gamma,"Numeric values; sample envelope [0, 950]; central 98% [7, 360]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
3647,Lifestyle,Physical activity,Duration of other exercises,"235,926",,categorical,1,1,3,7,7,TRUE,"[1, 2, 3, 4, 5, 6, 7]",category code,schema variable type + observed values,categorical_integer_code,1,7,"[1, 2, 3, 4, 5, 6, 7]",0.5332,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [1, 2, 3, 4, 5, 6, 7]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
3637,Lifestyle,Physical activity,Frequency of other exercises in last 4 weeks,"235,926",,categorical,1,1,4,6,6,TRUE,"[1, 2, 3, 4, 5, 6]",category code,schema variable type + observed values,categorical_integer_code,1,6,"[1, 2, 3, 4, 5, 6]",0.5341,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [1, 2, 3, 4, 5, 6]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
914,Lifestyle,Physical activity,Duration of vigorous activity,"294,516",,continuous,0,1,30,240,720,TRUE,,minutes/day,schema Prompts,continuous_numeric,0,720,,0.4661,0,0,bounded right-skewed empirical/log-normal/gamma,"Numeric values; sample envelope [0, 720]; central 98% [1, 240]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
874,Lifestyle,Physical activity,Duration of walks,"477,541",,continuous,0,5,30,420,1260,TRUE,,minutes/day,schema Prompts,continuous_numeric,0,1260,,0.1559,0,0,bounded right-skewed empirical/log-normal/gamma,"Numeric values; sample envelope [0, 1260]; central 98% [5, 420]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
981,Lifestyle,Physical activity,Duration walking for pleasure,"350,709",,categorical,1,1,3,7,7,TRUE,"[1, 2, 3, 4, 5, 6, 7]",category code,schema variable type + observed values,categorical_integer_code,1,7,"[1, 2, 3, 4, 5, 6, 7]",0.3025,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [1, 2, 3, 4, 5, 6, 7]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
971,Lifestyle,Physical activity,Frequency of walking for pleasure in last 4 weeks,"350,709",,categorical,1,1,3,6,6,TRUE,"[1, 2, 3, 4, 5, 6]",category code,schema variable type + observed values,categorical_integer_code,1,6,"[1, 2, 3, 4, 5, 6]",0.301,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [1, 2, 3, 4, 5, 6]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
943,Lifestyle,Physical activity,Frequency of stair climbing in last 4 weeks,"495,595",,categorical,0,0,2,5,5,TRUE,"[0, 1, 2, 3, 4, 5]",category code,schema variable type + observed values,categorical_integer_code,0,5,"[0, 1, 2, 3, 4, 5]",0.0212,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [0, 1, 2, 3, 4, 5]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
884,Lifestyle,Physical activity,Number of days/week of moderate physical activity 10+ minutes,"501,271",,continuous,0,0,3,7,7,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7]",days/week,schema Prompts,bounded_integer_or_count,0,7,,0.0528,0,0,bounded empirical integer/count,"Integer values only; sample envelope [0, 7]; central 98% [0, 7]; retain realistic tails and NaN."
904,Lifestyle,Physical activity,Number of days/week of vigorous physical activity 10+ minutes,"501,271",,continuous,0,0,1,7,7,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7]",days/week,schema Prompts,bounded_integer_or_count,0,7,,0.0578,0,0,zero-inflated bounded count,"Integer values only; sample envelope [0, 7]; central 98% [0, 7]; retain realistic tails and NaN."
864,Lifestyle,Physical activity,Number of days/week walked 10+ minutes,"501,275",,continuous,0,0,6,7,7,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7]",days/week,schema Prompts,bounded_integer_or_count,0,7,,0.0197,0,0,bounded empirical integer/count,"Integer values only; sample envelope [0, 7]; central 98% [0, 7]; retain realistic tails and NaN."
1090,Lifestyle,Physical activity,Time spent driving,"501,023",,continuous,0,0,0,7,20,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 20]",hours/day,schema Prompts,bounded_integer_or_count,0,20,,0.0199,0,0,zero-inflated bounded count,"Integer values only; sample envelope [0, 20]; central 98% [0, 7]; retain realistic tails and NaN."
